country,Diversity,Economy,Education,Infrastructure,Policy & Governance,Public Opinion,R&D,Responsible AI,Total,region
Australia,1.03,2.2,0.94,1.15,5.87,0.48,1.03,0.41,13.11,APAC
Austria,1.08,2.45,2.3,0.8,5.44,1.58,0.26,0.1,14.02,EMEA
Belgium,0.68,2.44,2.27,2.21,8.97,0.62,0.27,0.14,17.59,EMEA
Brazil,0.0,0.65,0.0,1.84,4.48,0.54,0.65,0.0,8.16,Americas
Canada,1.03,2.92,0.88,3.2,4.68,0.47,1.98,0.54,15.71,Americas
China,1.08,6.19,0.94,9.49,4.4,1.33,14.78,1.96,40.17,APAC
Denmark,0.64,2.94,1.44,4.56,4.47,0.57,0.26,0.17,15.06,EMEA
Estonia,1.08,2.42,0.0,1.42,4.52,0.46,0.03,0.03,9.96,EMEA
Finland,0.9,3.11,2.27,2.86,4.5,0.36,0.25,0.05,14.3,EMEA
France,1.4,2.0,3.21,5.74,7.4,0.91,1.53,0.35,22.54,EMEA
Germany,0.91,3.42,2.16,3.21,4.77,1.09,2.22,0.71,18.49,EMEA
India,2.86,4.3,2.02,0.6,4.55,1.58,9.37,0.26,25.54,APAC
Ireland,1.11,1.69,1.14,1.76,5.75,0.83,0.27,0.05,12.59,EMEA
Israel,0.99,3.59,0.65,4.49,4.4,0.51,0.58,0.1,15.32,EMEA
Italy,1.14,1.58,1.99,1.46,5.71,0.94,1.05,0.26,14.11,EMEA
Japan,1.08,3.11,1.11,6.14,4.68,0.54,1.61,0.2,18.47,APAC
Luxembourg,1.14,6.0,0.74,3.54,5.27,0.97,0.03,0.0,17.69,EMEA
Malaysia,1.08,2.42,1.15,2.58,4.64,1.18,0.45,0.0,13.51,APAC
Mexico,1.08,2.43,0.0,0.54,4.67,0.17,0.2,0.01,9.1,Americas
Netherlands,1.38,2.67,1.26,3.99,4.49,0.64,0.68,0.28,15.38,EMEA
New Zealand,1.48,1.94,0.67,2.18,0.06,0.42,0.11,0.02,7.59,APAC
Norway,1.08,2.93,2.47,2.76,4.7,0.66,0.22,0.03,14.84,EMEA
Poland,1.08,2.44,2.02,2.08,4.42,1.43,0.38,0.03,13.88,EMEA
Portugal,0.57,3.02,0.89,3.46,6.2,0.31,0.22,0.03,14.7,EMEA
Russia,1.08,2.47,1.12,1.27,5.49,0.52,0.73,0.0,12.67,EMEA
Saudi Arabia,1.08,2.47,0.8,1.55,4.56,2.25,0.64,0.01,13.36,EMEA
Singapore,1.98,4.99,1.42,2.35,4.84,0.99,1.09,0.49,18.15,APAC
South Africa,1.43,1.34,0.34,0.27,0.14,0.03,0.14,0.02,3.71,EMEA
South Korea,1.08,3.0,1.23,4.57,7.05,1.59,1.81,0.14,20.48,APAC
Spain,0.45,2.57,1.95,4.38,6.92,0.63,0.73,0.09,17.72,EMEA
Sweden,1.09,2.56,1.69,2.52,4.49,1.03,0.43,0.03,13.84,EMEA
Switzerland,0.9,2.74,0.72,4.04,4.55,0.43,0.58,0.31,14.27,EMEA
Turkey,1.08,2.45,1.12,0.28,4.56,1.03,0.6,0.0,11.13,EMEA
United Arab Emirates,2.69,5.4,3.21,4.87,4.56,1.29,0.61,0.08,22.72,EMEA
United Kingdom,1.25,5.92,3.69,2.35,9.67,0.65,2.58,1.11,27.21,EMEA
United States,1.01,13.55,2.75,16.91,6.84,3.99,19.29,5.71,70.06,Americas
